route,component,answer_text,next_or_outcome
/exemption/construction/maintenance/coastal-drainage-flood/EA/beach-replenishment,Radio,No,/exemption/licence-not-required-exemption-available-article-19
/exemption/construction/maintenance/coastal-drainage-flood/EA/emergency,Radio,Yes,/exemption/licence-not-required-exemption-available-article-20
/exemption/construction/maintenance/coastal-drainage-flood/EA/emergency,Radio,No,/exemption/construction-exe-not-available-continue
/exemption/construction/maintenance/coastal-drainage-flood/CPA,Radio,Yes,/exemption/construction/maintenance/coastal-drainage-flood/CPA/boundaries
/exemption/construction/maintenance/coastal-drainage-flood/CPA,Radio,No,/exemption/construction-exe-not-available-continue
/exemption/construction/maintenance/coastal-drainage-flood/CPA/boundaries,Radio,Yes,/exemption/construction/maintenance/coastal-drainage-flood/CPA/beach-replenishment
/exemption/construction/maintenance/coastal-drainage-flood/CPA/boundaries,Radio,No,/exemption/construction-exe-not-available-continue
/exemption/construction/maintenance/coastal-drainage-flood/CPA/beach-replenishment,Radio,Yes,/exemption/construction-exe-not-available-continue
/exemption/construction/maintenance/coastal-drainage-flood/CPA/beach-replenishment,Radio,No,/exemption/licence-not-required-exemption-available-article-19
/exemption/construction/maintenance/pipelines,Radio,Oil and gas pipeline,/exemption/construction/maintenance/pipeline/oil-and-gas/purpose
/exemption/construction/maintenance/pipelines,Radio,Other pipelines,/exemption/construction/maintenance/pipeline/inspection-repair
/exemption/construction/maintenance/pipeline/oil-and-gas/purpose,Radio,something done in the course of carrying on an activity for which a licence under section 3 of the Petroleum Act 1998 or section 2 of the Petroleum (Production) Act 1934 is required,/exemption/licence-not-required-exemption-available-Section-77
/exemption/construction/maintenance/pipeline/oil-and-gas/purpose,Radio,something done for the purpose of constructing or maintaining a pipeline as respects any part of which an authorisation (within the meaning of Part 3 of the Petroleum Act 1998) is in force;,/exemption/licence-not-required-exemption-available-Section-77
/exemption/construction/maintenance/pipeline/oil-and-gas/purpose,Radio,something done for the purpose of establishing or maintaining an offshore installation (within the meaning of Part 4 of the Petroleum Act 1998;,/exemption/licence-not-required-exemption-available-Section-77
/exemption/construction/maintenance/pipeline/oil-and-gas/purpose,Radio,Other,/exemption/construction/maintenance/pipeline/inspection-repair
/exemption/construction/maintenance/pipeline/inspection-repair,Radio,Yes,/exemption/construction/maintenance/pipeline/emergency
/exemption/construction/maintenance/pipeline/inspection-repair,Radio,No,/exemption/construction-exe-not-available-continue
/exemption/construction/maintenance/pipeline/emergency,Radio,Yes,/exemption/construction/maintenance/pipeline/protection
/exemption/construction/maintenance/pipeline/emergency,Radio,No,/exemption/construction-exe-not-available-continue
/exemption/construction/maintenance/pipeline/protection,Radio,Yes,/exemption/construction-exe-not-available-continue
/exemption/construction/maintenance/pipeline/protection,Radio,No,/exemption/construction/maintenance/pipeline/explosives
/exemption/construction/maintenance/pipeline/explosives,Radio,Yes,/exemption/construction-exe-not-available-continue
/exemption/construction/maintenance/pipeline/explosives,Radio,No,/exemption/licence-not-required-exemption-available-article-34
/exemption/construction/maintenance/carbon-storage,Radio,Yes,/exemption/licence-not-required-exemption-available-Section-77
/exemption/construction/maintenance/carbon-storage,Radio,No,/exemption/construction-exe-not-available-continue
/exemption/construction/maintenance/bored-tunnel,Radio,Yes,/exemption/construction/maintenance/bored-tunnel/affect
/exemption/construction/maintenance/bored-tunnel,Radio,No,/exemption/construction-exe-not-available-continue
/exemption/construction/maintenance/bored-tunnel/affect,Radio,Yes,/exemption/construction-exe-not-available-continue
/exemption/construction/maintenance/bored-tunnel/affect,Radio,No,/exemption/licence-not-required-exemption-available-article-35
/exemption/construction/new,Radio,Moorings or aids to navigation,/exemption/construction/new/moorings
/exemption/construction/new,Radio,Pontoons,/exemption/construction/new/pontoons
/exemption/construction/new,Radio,Flood or flood risk,/exemption/construction/new/flood-emergency
/exemption/construction/new,Radio,Cables,/exemption/construction/new/cables
/exemption/construction/new,Radio,Pipelines,/exemption/construction/new/pipelines
/exemption/construction/new,Radio,Other,/exemption/construction/new/miscellaneous
/exemption/construction/new/moorings,Radio,To provide a pile mooring,/exemption/construction/new/moorings/undertaker
/exemption/construction/new/moorings,Radio,To provide a swinging mooring,/exemption/construction/new/moorings/undertaker
/exemption/construction/new/moorings,Radio,To provide a trot Mooring,/exemption/construction/new/moorings/undertaker
/exemption/construction/new/moorings,Radio,To provide a aid to Navigation,/exemption/construction/new/moorings/undertaker
/exemption/construction/new/moorings,Radio,Something else,/exemption/construction-exe-not-available-continue
/exemption/construction/new/moorings/undertaker,Radio,A harbour authority or someone on behalf of a harbour authority,/exemption/licence-not-required-exemption-available-article-25
/exemption/construction/new/moorings/undertaker,Radio,A lighthouse authority or someone on behalf of a lighthouse authority,/exemption/licence-not-required-exemption-available-article-25
/exemption/construction/new/moorings/undertaker,Radio,Someone else,/exemption/construction/new/moorings/undertaker/consent
/exemption/construction/new/moorings/undertaker/consent,Radio,Yes,/exemption/construction/new/moorings/undertaker/approval
/exemption/construction/new/moorings/undertaker/consent,Radio,No,/exemption/construction-exe-not-available-continue
/exemption/construction/new/moorings/undertaker/approval,Radio,Yes,/exemption/licence-not-required-exemption-available-article-25-notification
/exemption/construction/new/moorings/undertaker/approval,Radio,No,/exemption/construction-exe-not-available-continue
/exemption/construction/new/pontoons,Radio,Yes,/exemption/construction/new/pontoons/undertaker
/exemption/construction/new/pontoons,Radio,No,/exemption/construction-exe-not-available-continue
/exemption/construction/new/pontoons/undertaker,Radio,A harbour authority or someone on behalf of a harbour authority,/exemption/construction/new/pontoons/deck
/exemption/construction/new/pontoons/undertaker,Radio,Someone else,/exemption/construction/new/pontoons/consent
/exemption/construction/new/pontoons/consent,Radio,Yes,/exemption/construction/new/pontoons/approval
/exemption/construction/new/pontoons/consent,Radio,No,/exemption/construction-exe-not-available-continue
